Throughput,Net_Life,Net_Energy,Latency,Energy_Balance
1.0,1.0,200.0,0.0,0.0
1.0,1.0,190.99123865483804,4.1099499684108345,0.0007631309726995276
0.9478787787791545,1.0,182.4861202986817,7.292546590505505,0.0004858698966819351
0.8617171385448963,0.99,175.72550104742692,11.175239527352351,0.00037436307716049653
0.7899245059054739,0.98,169.7403456966657,12.556556565107357,0.0003241116953290396
0.7343957612333664,0.97,164.16498082931966,12.550891616544726,0.0002751205473121336
0.6899460158923295,0.97,159.11936532667357,14.126117741034317,0.00024356356733630237
0.6503962130228393,0.97,154.31574392884596,14.231767831294475,0.00022257436668054884
0.6201808707049005,0.97,150.1387972787147,13.942725973433145,0.0002004392867384256
0.5988950158468852,0.96,146.882731971469,13.78410888389213,0.00016811064496116148
0.5815241613035673,0.96,143.75681200133204,13.74035023013173,0.00016729303965336533
