Throughput,Net_Life,Net_Energy,Latency,Energy_Balance
1.0,1.0,200.0,0.0,0.0
1.0,1.0,183.51931507593946,1.5700576792468264,0.0011432178087483267
1.0,0.98,167.2798010496323,1.6558426200852747,0.0009073065322860453
1.0,0.95,154.22631108737508,1.2440931873095789,0.0007156679195454225
1.0,0.94,144.818365071988,1.5978868395473425,0.0005676041976150887
1.0,0.91,137.14829911746227,1.402481672143812,0.00046308826529199053
1.0,0.88,131.59192565118235,1.4058791661462846,0.00036059622844061606
1.0,0.86,127.61298074955657,1.4356449371643345,0.00029360373531941834
1.0,0.85,123.79660087695144,1.4667732020622495,0.00027312211477956865
1.0,0.84,120.57024512480156,1.309439667197235,0.0002514083274645328
1.0,0.82,117.55095579377212,1.5777723291437997,0.0002135420435870405
