Throughput,Net_Life,Net_Energy,Latency,Energy_Balance
1.0,1.0,200.0,0.0,0.0
0.9947611115724481,0.99,169.50893436442354,3.3904886325223544,0.005376664337041278
0.9882277821860742,0.99,149.28821077403543,2.9889863203309095,0.005048882380664309
0.9651710987689078,0.94,126.46600749439858,4.795699259815573,0.00666423677898166
0.9191574350377651,0.89,109.46027702834701,2.678299351911735,0.0012133881328115167
0.8913027704747232,0.84,99.04397705511106,4.528356844789915,0.0007157653392946772
0.8768057519133787,0.83,89.94605838906192,3.09112572127849,0.0011050382700015307
0.8450661319141458,0.81,82.99333811354929,5.368490102296362,0.000491581610095311
0.831269765420134,0.77,76.61994416541516,3.746498113091341,0.0016657240191019934
0.8205207216374697,0.75,70.02362403606585,3.1934776149226134,0.0008087070958049331
0.8119478429234439,0.75,64.8022869955434,3.7890679751281278,0.0009130037368711984
