Throughput,Net_Life,Net_Energy,Latency,Energy_Balance
1,1,200,0,0
1,1,190.875552329595,4.13474976084056,0.000629012359744
1,1,181.370910740503,4.29931957906673,0.000671962912419
0.99979693498212,0.99,171.72787953515,4.10104177558808,0.000630484290887
0.999808264017176,0.98,162.48842253811,4.09436699841732,0.00073626618631
0.999841833564645,0.98,153.435357128953,4.11507982573739,0.000674804414491
0.999706787793108,0.94,145.011453265529,4.91243632907806,0.000805941022305
0.999488156627364,0.91,137.216335610431,4.34823606614498,0.000818781086377
0.997508208946563,0.88,129.706381982075,6.14879552946724,0.000785420782611
0.993990781659405,0.87,122.293979902421,6.47211280870348,0.000968013695573
0.954995701282914,0.8,114.349810913924,7.7048249370603,0.000981611792798
