Throughput,Net_Life,Net_Energy,Latency,Energy_Balance
1.0,1.0,200.0,0.0,0.0
1.0,1.0,181.3634029350856,2.942713333861727,0.003841631761590306
0.9769355705201085,1.0,162.24073744304917,3.249586613820981,0.0036770728344612405
0.9488385708136031,0.99,147.21567289486273,3.988085757067257,0.004390773094225709
0.9293244240480741,0.97,135.3895679870586,3.8941668055762126,0.0038364700927666557
0.8966722212899036,0.97,124.91686526536236,3.439040961577379,0.0035976073466571544
0.8718587435897311,0.95,117.13075075139632,3.1556757710235064,0.002524544506632685
0.8520510365175082,0.94,110.34874079479275,2.951638531468331,0.001301096665646468
0.8255096799306373,0.91,104.6019652145263,4.4384429422935,0.0004743431785661191
0.8073041076531824,0.89,100.15320340228632,3.8966332156259846,0.0010262987165148287
0.7898801693558529,0.86,95.99532403343747,4.066676594821521,0.00035536993154801767
